yyyy,PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,最高學歷,畢業學校類別,畢業科系類別,眷屬量,通勤成本,歸屬部門
2016,1566,0,1,1,7,13,1,0,0,0,0,0,23,2,5,1,6,0,0,0,8,0,0,2,4,6,0,0,1,0,0,10,1,5,3,2,1,1,1,0,2,1,6,0,8,13034
2017,1566,0,1,1,7,13,1,0,0,0,0,0,23,2,5,0,6,0,0,1,5,0,0,2,4,6,0,0,1,0,0,10,9,2,3,2,2,1,1,0,2,1,6,0,8,13034
2014,1569,0,1,1,4,2,1,0,0,1,0,1,23,2,1,2,6,0,0,2,5,0,0,1,5,6,0,0,1,0,0,10,8,5,6,1,3,3,0,0,2,4,2,1,8,2197
2015,1569,0,1,1,4,2,1,0,0,1,0,1,23,2,5,0,6,0,0,2,6,0,0,2,3,6,0,0,1,0,0,10,1,5,6,1,3,3,0,0,2,4,2,1,8,2197
2016,1569,0,1,1,4,2,1,0,0,1,0,1,21,2,5,1,6,0,2,1,6,0,0,2,11,10,0,0,1,1,2,1,8,5,6,1,3,3,0,0,2,4,2,1,8,2197
2017,1569,0,1,1,4,2,1,0,0,1,0,1,22,2,1,1,6,0,0,1,7,0,0,2,4,11,0,0,1,0,1,1,10,5,7,1,3,3,0,0,2,4,2,1,8,2149
2015,1571,0,1,1,7,14,1,0,0,0,0,1,24,1,5,3,6,7,0,3,7,0,0,1,2,5,0,0,5,0,4,5,1,5,2,2,1,1,0,0,2,4,3,0,8,14048
2016,1571,1,1,1,7,13,1,0,0,0,0,1,23,2,5,1,6,1,0,6,8,0,0,1,3,6,0,0,1,0,3,5,10,4,3,2,1,1,0,0,2,4,3,0,8,13084
2014,1572,0,0,2,3,19,1,0,0,0,0,0,23,3,5,0,6,0,0,3,1,0,1,1,2,5,0,0,1,0,0,1,5,4,8,1,5,5,1,1,,3,1,2,8,19036
2015,1572,0,0,2,3,19,1,0,0,0,0,0,23,1,5,0,6,0,0,2,0,0,0,1,4,6,0,0,1,0,0,1,9,4,8,1,5,5,1,1,,3,1,2,8,19036
2016,1572,0,0,2,3,19,4,0,0,0,0,0,24,2,2,0,6,0,0,2,0,0,0,1,1,3,0,0,0,0,0,2,1,5,9,1,5,5,1,1,,3,1,2,8,19004
2017,1572,0,0,2,3,19,4,0,0,0,0,0,24,3,3,0,6,0,0,1,0,1,0,2,1,3,0,0,1,0,0,2,9,5,9,1,6,5,1,1,,3,1,2,8,19004
2014,1574,0,0,1,4,8,1,0,0,0,0,0,23,2,1,3,6,0,1,1,13,0,0,2,3,6,0,0,1,1,2,1,8,2,5,1,2,2,0,0,,4,8,0,8,8181
2015,1574,0,0,1,4,8,1,0,0,0,0,0,23,1,1,0,6,3,0,0,22,0,0,3,2,7,0,0,1,0,1,1,10,2,5,1,2,2,0,0,,4,8,0,8,8181
2016,1574,0,0,1,4,8,1,0,0,0,0,0,23,1,5,0,6,2,0,2,23,0,0,3,3,6,0,0,1,1,1,1,9,2,5,1,2,2,0,0,,4,8,0,8,8181
2017,1574,0,0,1,4,8,1,0,0,0,0,0,23,1,5,0,6,1,0,1,17,0,0,3,2,6,0,0,1,0,1,1,9,2,6,1,2,2,0,0,,4,8,0,8,8181
2014,1577,1,1,1,7,13,1,1,0,0,0,0,24,4,5,6,6,0,0,7,3,0,0,1,3,6,0,0,1,0,0,5,3,2,2,2,1,1,1,0,2,5,3,0,8,13034
2014,1579,0,0,1,4,2,6,0,1,0,0,0,23,3,1,1,6,0,0,6,4,0,0,1,1,6,0,0,1,1,1,1,4,4,6,2,2,1,1,1,,1,2,0,8,2101
2015,1579,1,0,1,4,2,6,0,1,0,0,0,23,3,5,1,6,2,1,2,11,0,0,2,2,7,0,0,1,1,1,2,1,5,6,2,2,1,1,1,,1,2,1,8,2101
2014,1580,0,0,1,7,8,1,1,0,0,0,0,9,1,5,0,6,0,0,0,7,0,0,2,0,7,0,1,0,0,0,5,9,2,8,1,3,2,2,1,2,,8,2,8,8074
2015,1580,0,0,1,7,8,1,1,0,0,0,0,15,2,5,2,6,0,0,1,3,0,0,3,3,5,0,0,1,0,0,5,3,2,8,1,3,2,2,1,2,,8,2,8,8074
2016,1580,0,0,1,7,8,1,1,0,0,0,0,22,2,5,1,6,0,0,1,0,0,0,3,3,8,0,0,1,0,0,10,10,2,8,1,3,2,2,1,2,,8,2,8,8074
2017,1580,0,0,1,7,8,1,1,0,0,0,0,22,2,5,3,6,0,0,1,0,0,0,3,3,9,0,0,1,0,0,10,1,2,9,1,3,2,2,1,2,,8,2,8,8074
2014,1583,0,0,2,4,19,6,0,0,0,0,0,24,2,5,0,6,15,0,3,0,0,0,4,3,4,0,0,1,0,1,10,7,5,8,1,5,4,1,1,,3,9,2,8,19036
2015,1583,0,0,2,3,19,6,0,0,0,0,0,21,2,5,0,6,6,0,3,0,0,1,1,1,11,1,1,1,0,1,1,1,4,8,1,5,5,1,1,,3,9,2,8,19036
2016,1583,0,0,2,3,19,6,0,0,0,0,0,23,2,5,0,6,0,0,2,0,0,0,1,4,4,0,0,1,0,1,1,1,5,9,1,5,5,1,1,,3,9,2,8,19036
2017,1583,0,0,2,3,19,6,0,0,0,0,0,23,3,5,0,6,0,0,3,0,0,0,1,3,5,0,0,2,0,1,2,1,4,9,1,5,5,1,1,,3,9,2,8,19036
2014,1584,0,1,1,4,14,1,0,0,0,0,0,23,2,1,2,6,0,0,1,3,0,0,3,1,6,0,0,2,0,2,1,9,5,10,1,5,5,1,1,2,,7,2,8,14048
2015,1584,0,1,1,3,14,1,0,0,0,0,0,23,2,5,4,6,0,0,1,5,0,1,1,1,6,0,0,2,0,2,2,1,5,10,1,5,5,1,1,2,,7,2,8,14048
2016,1584,0,1,1,3,14,1,0,0,0,0,0,23,2,5,3,6,0,0,1,5,0,0,1,2,6,0,0,2,0,2,2,9,2,10,1,5,5,1,1,2,,7,2,8,14048
2017,1584,0,1,1,3,14,1,0,0,0,0,0,23,3,5,2,6,0,0,1,3,0,0,1,1,5,0,0,3,0,2,2,9,4,11,1,6,5,1,1,2,,7,1,8,14048
2014,1586,0,1,1,2,10,2,0,1,0,0,1,23,4,1,1,6,0,0,1,10,6,0,3,2,5,0,0,1,1,0,4,1,4,8,1,3,3,1,1,,4,8,2,8,10008
2015,1586,0,1,1,2,10,3,0,1,0,0,1,23,4,1,3,6,0,2,4,12,6,0,4,2,5,0,0,1,1,0,4,1,4,8,1,4,4,1,1,,4,8,2,8,10008
2016,1586,0,1,1,2,10,3,0,1,0,0,1,23,4,5,7,6,0,2,2,10,7,0,4,4,7,0,0,1,1,1,3,1,4,9,1,4,4,1,1,,4,8,2,8,10008
2017,1586,0,1,1,2,10,3,0,1,0,0,1,23,3,5,5,6,0,0,2,9,5,0,4,1,5,0,0,1,1,1,3,1,4,9,1,4,4,1,1,,4,8,2,8,10008
2016,1587,0,1,1,1,4,1,0,0,0,0,0,22,3,5,0,6,0,0,1,4,1,0,1,3,10,0,0,1,0,1,5,1,2,4,2,2,1,2,1,,,5,0,8,4045
2017,1587,0,1,1,1,4,1,0,0,0,0,0,22,1,5,1,6,0,0,1,4,2,0,2,4,10,0,0,1,0,0,5,4,2,4,2,2,1,2,1,,,5,0,8,4045
2014,1594,1,0,1,4,14,1,0,0,1,0,0,23,3,5,5,6,3,0,2,9,0,0,3,3,7,0,0,3,0,2,1,1,2,6,2,3,3,0,1,,4,7,0,12,14077
2014,1596,0,1,1,4,8,1,0,0,0,0,0,23,2,5,0,6,0,0,1,5,0,0,6,3,6,0,0,1,1,1,2,2,5,11,1,6,4,4,2,2,4,8,2,9,8142
2015,1596,0,1,1,4,8,1,0,0,0,0,0,13,1,5,0,6,0,0,1,2,0,0,6,0,11,0,0,1,0,1,2,4,2,11,1,6,4,4,2,2,4,8,2,9,8142
2016,1596,1,1,1,4,8,1,0,0,0,0,0,22,1,1,0,6,0,0,1,2,0,0,7,2,7,0,0,1,0,0,2,5,3,12,1,7,5,4,2,2,4,8,2,9,8142
2017,1600,0,0,2,7,20,1,0,0,0,0,0,19,1,5,0,11,0,0,1,0,0,0,1,3,9,0,0,5,0,9,5,1,2,5,1,3,1,3,2,2,1,9,0,15,20082
2017,1601,0,1,1,1,19,1,0,0,0,0,0,23,1,5,0,6,0,0,1,2,1,0,1,1,6,1,3,0,0,0,9,4,2,4,1,2,1,3,2,,3,9,0,11,19138
2014,1603,1,1,1,4,20,1,0,0,0,0,1,23,3,5,0,6,0,0,1,13,0,0,1,3,7,0,0,2,0,2,1,7,4,4,1,1,1,1,0,,4,5,0,6,20089
2014,1605,0,1,1,4,14,1,0,0,0,0,0,23,1,5,0,6,0,0,1,4,0,0,2,5,8,0,0,6,0,6,10,5,2,5,2,1,1,1,1,,4,9,0,8,14195
2015,1605,0,1,1,4,14,1,0,0,0,0,0,22,1,5,0,6,0,5,2,7,0,0,2,2,7,0,0,5,1,6,1,2,2,5,2,2,1,1,1,,4,9,0,8,14195
2016,1605,0,1,1,4,14,1,0,0,0,0,0,23,1,5,0,6,0,0,2,8,0,0,2,3,6,0,0,5,1,5,1,4,2,6,2,2,2,1,1,,4,9,0,8,14195
2017,1605,0,1,1,4,14,1,0,0,0,0,0,23,1,3,0,6,0,0,4,5,0,0,3,7,7,0,0,6,0,6,1,4,2,6,2,2,2,1,1,,4,9,0,8,14195
2014,1607,0,0,1,7,2,1,0,0,0,0,0,23,1,5,0,6,0,0,1,2,1,0,3,7,6,0,0,0,0,0,5,5,2,5,1,2,2,0,0,2,3,2,1,15,2101
2015,1607,0,0,1,7,2,1,0,0,0,0,0,23,1,1,0,6,0,2,2,4,1,0,4,7,6,0,0,1,1,0,5,5,3,6,1,3,3,0,0,2,3,2,2,15,2101
2016,1607,0,0,1,7,2,1,0,0,0,0,0,23,1,5,0,6,0,0,1,4,0,0,4,7,6,0,0,0,0,0,5,6,5,6,1,3,3,0,0,2,3,2,2,15,2101
2017,1607,0,0,1,7,2,1,0,0,0,0,0,19,1,5,1,6,0,0,1,3,0,0,4,7,6,0,0,1,0,0,5,9,2,6,1,3,3,0,0,2,3,2,2,8,2098
2014,1608,0,0,1,4,2,1,0,0,0,0,0,23,1,5,14,6,0,0,1,1,0,0,5,6,7,0,0,0,0,0,2,4,5,8,2,4,4,1,1,,4,8,0,8,2197
2015,1608,0,0,1,4,2,1,0,0,0,0,0,22,1,5,0,6,0,0,1,2,0,0,5,2,9,0,0,0,0,0,2,1,2,9,2,4,4,1,1,,4,8,0,8,2197
2016,1608,0,0,1,4,2,1,0,0,0,0,0,23,2,1,1,6,0,2,1,2,0,0,6,7,5,0,0,0,1,0,2,7,2,9,2,4,4,1,1,,4,8,0,8,2197
2017,1608,0,0,1,4,2,1,0,0,0,0,0,23,2,1,0,5,0,0,1,4,0,0,6,3,7,0,0,0,0,0,2,6,5,9,2,4,4,1,1,,4,8,0,8,2177
2015,1609,0,1,1,7,8,1,0,0,0,0,0,22,4,5,1,3,1,0,1,4,0,0,6,5,6,0,0,1,0,0,10,2,2,9,1,5,4,2,1,2,,3,2,11,8126
2016,1609,0,1,1,7,8,1,0,0,0,0,0,23,5,2,2,3,0,0,1,4,0,0,6,4,6,0,0,1,0,0,10,4,2,10,1,5,4,2,1,2,,3,2,10,8126
2017,1609,0,1,1,7,8,1,0,0,0,0,0,24,3,5,3,3,0,0,1,3,1,0,6,1,4,0,0,1,0,1,10,9,5,10,1,5,4,2,1,2,,3,2,10,8126
2017,1610,0,0,2,7,2,1,0,0,0,0,0,19,3,5,0,6,0,0,1,0,0,0,1,1,6,0,2,1,0,0,5,4,5,7,1,4,1,5,2,,3,9,3,8,2180
2014,1611,0,0,1,7,14,1,0,0,0,0,0,23,2,2,8,6,2,0,1,6,0,0,1,1,7,0,0,1,0,0,5,7,2,4,1,2,1,2,1,2,4,7,1,6,14048
2015,1611,0,0,1,7,14,1,0,0,0,0,0,23,3,5,11,6,0,0,2,5,0,0,2,4,8,0,0,2,0,1,5,4,2,5,1,2,1,2,1,2,4,7,1,6,14048
2016,1611,0,0,1,7,14,1,0,0,0,0,0,19,5,5,9,6,0,0,1,6,0,0,2,2,5,0,0,2,0,1,5,8,2,5,1,2,2,2,1,2,4,7,1,6,14048
2017,1611,0,0,1,7,14,1,0,0,0,0,0,20,2,1,2,6,3,0,1,4,0,0,2,5,10,0,0,2,0,2,5,8,2,5,1,3,2,2,1,2,4,7,1,6,14048
2014,1613,0,0,2,4,14,1,0,0,0,0,0,23,2,5,0,6,0,0,2,1,0,0,3,6,6,0,0,1,0,1,1,1,4,10,1,6,5,1,1,,3,2,1,8,14193
2015,1613,0,0,2,4,14,1,0,0,0,0,0,21,2,5,0,6,0,0,2,1,0,0,4,6,7,0,0,1,0,4,1,1,4,10,1,6,6,1,1,,3,2,2,8,14193
2016,1613,0,0,2,4,14,1,0,0,0,0,0,23,4,5,5,6,0,0,3,1,0,0,4,5,6,0,0,1,0,3,1,10,4,11,1,6,6,1,1,,3,2,2,8,14193
2014,1616,0,1,1,2,20,4,0,0,0,0,0,24,2,5,0,6,0,2,2,0,1,0,2,2,5,0,0,1,1,1,4,1,4,9,1,4,4,0,0,2,4,5,2,8,20208
2014,1626,0,1,1,3,16,4,0,0,0,1,0,22,3,1,6,5,0,2,1,5,1,0,2,4,8,0,1,2,1,2,7,8,5,11,1,6,5,2,1,2,,3,1,8,16070
2015,1626,1,1,1,3,16,4,0,0,0,1,0,22,2,5,4,5,0,0,5,5,1,0,2,9,9,0,0,2,0,1,7,7,5,11,1,6,5,2,1,2,,3,1,8,16070
2014,1627,0,1,1,7,20,1,0,0,0,0,0,23,1,5,0,6,3,0,1,3,0,0,2,4,6,0,0,0,0,0,10,5,2,7,1,3,1,3,0,2,1,5,0,8,20054
2015,1627,0,1,1,7,20,1,0,0,0,0,0,23,1,5,0,6,2,0,1,4,0,0,2,4,6,0,0,0,0,0,10,5,2,7,1,3,2,3,0,2,1,5,0,8,20123
2016,1627,0,1,1,7,20,1,0,0,0,0,0,23,1,5,0,6,0,0,1,6,0,0,2,4,5,0,0,1,0,0,10,4,2,8,1,3,2,3,0,2,1,5,0,9,20123
2017,1627,0,1,1,7,20,1,0,0,0,0,0,21,2,5,0,6,0,0,1,4,0,0,3,4,7,0,0,1,0,0,10,4,2,8,1,3,2,3,0,2,1,5,0,9,20123
2014,1628,0,1,1,3,2,6,0,1,0,0,0,23,4,1,3,6,0,0,5,3,0,0,1,2,7,0,0,2,0,1,6,4,5,8,1,3,1,4,1,,4,2,3,8,2101
2015,1628,0,1,1,3,2,6,0,1,0,0,0,23,4,5,2,6,1,0,2,4,0,0,1,2,6,0,0,1,0,1,6,1,5,8,1,4,2,4,1,,4,2,3,8,2101
2016,1628,0,1,1,3,2,4,0,1,0,0,0,23,4,5,2,6,1,0,2,5,0,0,2,2,6,0,0,2,0,1,6,1,5,9,1,4,2,4,1,,4,2,3,8,2101
2017,1628,0,1,1,3,2,4,0,1,0,0,0,23,2,1,1,6,0,0,2,6,0,0,2,1,5,0,0,2,0,2,7,1,4,9,1,4,2,4,1,,4,2,3,8,2098
2014,1629,0,1,1,3,8,1,0,0,0,0,0,23,2,1,5,6,0,0,1,11,0,0,1,8,6,0,0,1,0,1,7,7,5,12,1,7,6,2,1,,4,8,2,8,8181
2015,1629,0,1,1,3,8,1,0,0,0,0,0,22,2,1,1,6,0,0,1,6,0,0,2,5,6,0,0,1,0,1,7,7,2,12,1,7,6,2,1,,4,8,2,8,8181
2016,1629,0,1,1,3,8,1,0,0,0,0,0,23,2,5,0,6,0,0,1,7,0,0,2,7,6,0,0,1,0,0,7,2,2,13,1,7,6,2,1,,4,8,2,8,8181
2014,1630,0,1,1,3,19,1,0,1,1,0,1,23,4,1,5,6,0,2,2,11,4,0,1,1,6,0,0,1,1,0,1,1,4,6,1,3,3,0,0,,4,3,1,8,19043
2015,1630,0,1,1,3,19,6,0,1,1,0,1,23,4,1,6,6,0,0,6,10,7,0,2,3,6,0,0,1,1,1,1,1,5,6,1,3,3,0,0,,4,3,1,8,19043
2016,1630,0,1,1,3,19,6,0,1,1,0,1,22,4,1,4,6,1,2,7,12,7,0,2,3,6,0,0,1,1,1,2,1,5,6,1,3,3,0,0,,4,3,2,8,19004
2017,1630,0,1,1,3,19,6,0,1,1,0,1,23,3,1,4,6,0,2,4,15,7,0,2,2,5,0,0,1,1,5,2,1,5,7,1,4,4,0,0,,4,3,2,8,19004
2014,1637,0,1,2,1,20,1,0,0,0,0,0,24,1,5,0,11,0,0,0,0,0,0,2,3,5,0,0,1,0,2,9,3,2,6,2,3,2,3,1,,3,9,1,10,20071
2015,1637,1,1,2,1,20,1,0,0,0,0,0,23,1,5,0,6,0,0,1,0,0,0,2,3,5,0,0,1,0,0,9,3,3,7,2,3,2,3,1,,3,9,1,8,20071
2014,1638,0,0,1,7,8,1,0,0,0,0,0,23,3,5,1,6,0,0,4,3,0,0,2,2,6,0,0,0,0,0,5,4,2,3,2,1,1,1,1,2,,8,0,8,8157
2015,1638,0,0,1,7,8,1,0,0,0,0,0,20,2,5,3,6,0,0,2,7,0,0,2,2,8,0,0,1,0,0,5,8,2,4,2,2,1,1,1,2,,8,0,8,8157
2016,1638,0,0,1,7,8,1,0,0,0,0,0,14,1,5,5,6,0,0,1,13,0,0,2,3,6,0,0,1,0,0,5,4,2,4,1,2,2,1,1,2,,8,0,8,8157
2017,1638,0,0,1,7,8,1,0,0,0,0,0,22,2,5,4,6,2,0,1,12,0,0,2,5,9,0,0,1,1,0,5,7,2,4,1,2,2,1,1,2,,8,1,8,8157
2014,1643,0,0,1,4,8,1,0,0,0,1,0,22,1,5,0,6,0,2,1,17,1,0,2,4,9,0,0,0,1,0,1,1,5,5,1,3,3,0,0,,4,8,0,8,8038
2015,1643,1,0,1,4,8,1,0,0,0,1,0,22,1,5,0,6,0,4,1,19,1,0,2,4,7,0,0,1,1,0,1,4,5,6,1,3,3,0,0,,4,8,0,8,8038
2017,1647,0,1,1,4,13,1,0,0,0,0,0,22,3,5,1,6,0,0,1,9,1,0,1,1,8,3,4,1,0,1,2,8,4,11,1,6,1,9,5,2,4,3,0,8,13034
2014,1649,0,1,2,4,4,1,0,0,0,0,0,22,3,5,0,6,0,0,3,0,0,0,2,4,9,0,0,1,0,1,10,2,2,6,1,2,2,1,1,2,4,9,1,8,4073
2015,1649,0,1,2,4,4,1,0,0,0,0,0,21,4,5,2,6,0,0,1,1,0,0,2,13,10,1,1,1,0,1,10,2,2,6,1,2,2,1,1,2,4,9,1,8,4073
2016,1649,0,1,2,4,4,1,0,0,0,0,0,22,4,5,1,6,1,1,2,1,1,0,2,4,8,0,0,1,1,1,10,8,5,6,1,3,2,1,1,2,4,9,0,8,4073
2017,1649,0,1,2,4,4,1,0,0,0,0,0,23,3,5,1,6,1,0,2,1,2,0,2,1,6,0,0,1,0,1,10,1,4,7,1,3,2,1,1,2,4,9,1,8,4073
2017,1652,0,0,1,7,14,1,0,0,0,0,0,22,1,5,0,6,0,0,4,5,0,0,1,0,7,1,6,2,0,4,5,7,2,4,2,2,1,2,1,2,4,3,1,8,14195
2017,1653,0,1,1,7,4,1,0,0,0,0,1,23,2,5,0,6,1,0,6,7,1,0,1,3,7,0,0,1,0,1,5,1,5,5,1,1,1,0,1,2,3,2,0,9,4125
2014,1655,0,1,1,2,8,6,0,0,0,0,1,23,6,1,1,6,1,0,1,61,4,1,1,4,4,0,0,1,1,1,7,1,4,6,1,3,3,0,0,,4,8,0,8,8157
2015,1655,0,1,1,2,8,6,0,0,0,0,1,24,7,5,1,6,2,2,1,44,2,0,1,3,3,0,0,1,1,1,4,1,4,7,1,3,3,0,0,,4,8,0,8,8157
2016,1655,0,1,1,2,8,2,0,0,0,0,1,24,7,1,1,6,3,3,1,37,2,0,1,3,4,0,0,1,2,1,4,1,5,7,1,3,3,0,0,,4,8,0,8,8157
2017,1655,0,1,1,2,8,2,0,0,0,0,1,24,4,5,1,6,4,1,1,36,2,0,2,3,4,0,0,1,1,1,4,1,4,7,1,3,3,0,0,,4,8,0,8,8157
2016,1656,0,1,1,7,20,1,0,0,0,0,0,24,2,5,0,6,0,0,1,5,0,0,1,3,5,0,0,1,0,0,5,8,2,5,2,1,1,1,1,2,,5,0,8,20054
2017,1656,0,1,1,7,20,1,0,0,0,0,0,23,3,5,0,6,0,0,5,3,1,0,1,4,6,0,0,1,0,0,5,9,2,5,2,1,1,1,1,2,,5,0,8,20054
2014,1660,0,1,1,7,2,1,0,0,0,0,0,22,2,5,8,6,0,0,2,1,1,0,4,3,7,0,0,1,0,0,10,6,2,8,1,4,3,2,2,2,4,2,2,9,2101
2015,1660,0,1,1,7,2,1,0,0,0,0,0,23,2,5,4,6,0,0,1,11,0,0,5,2,6,0,0,1,0,0,10,5,2,9,1,4,3,2,2,2,4,2,2,9,2101
2016,1660,0,1,1,7,2,1,0,0,0,0,0,23,1,5,0,6,1,0,2,23,1,0,5,2,6,0,0,1,0,0,10,8,2,9,1,5,3,2,2,2,4,2,2,9,2101
2017,1660,0,1,1,7,2,1,0,0,0,0,0,23,2,5,1,6,0,0,1,23,1,0,5,1,6,0,0,1,0,0,10,7,5,9,1,5,4,2,2,2,4,2,2,9,2098
2014,1662,0,1,1,4,13,1,0,0,0,0,0,23,2,5,5,6,2,0,2,15,0,0,1,5,6,0,0,5,1,3,10,8,5,5,1,2,2,1,1,2,,3,2,8,13049
2015,1662,0,1,1,4,13,1,0,0,0,0,0,23,3,5,6,6,2,0,1,14,0,0,2,3,5,0,0,5,1,3,10,9,5,5,1,2,2,1,1,2,,3,2,8,13049
2016,1662,0,1,1,4,13,1,0,0,0,0,0,22,3,5,1,6,0,0,0,7,0,0,2,2,5,0,0,3,2,2,10,1,4,6,1,2,2,1,1,2,,3,2,8,13049
2017,1662,1,1,1,4,13,1,0,0,0,0,0,23,3,5,7,6,0,0,1,3,1,0,2,0,5,0,0,2,3,2,1,1,4,6,1,3,3,1,1,2,,3,2,8,13159
2014,1663,0,1,1,3,14,6,0,0,0,0,0,23,1,1,4,6,4,0,4,17,0,1,1,5,6,0,0,3,0,4,2,1,5,6,1,2,2,1,1,,,8,3,8,14105
2015,1663,0,1,1,3,14,6,0,0,0,0,0,23,2,1,3,6,0,0,0,13,0,0,1,2,6,0,0,2,0,3,2,1,4,6,1,2,2,1,1,,,8,2,8,14105
2016,1663,0,1,1,3,14,6,0,0,0,0,0,23,1,1,6,6,2,0,2,8,0,0,1,3,6,0,0,3,0,5,6,1,4,7,1,2,2,1,1,,,8,2,8,14105
2017,1663,0,1,1,3,14,6,0,0,0,0,0,23,1,1,0,6,3,0,1,6,0,0,2,1,7,0,0,2,0,4,6,1,4,7,1,3,2,1,1,,,8,2,8,14105
2014,1665,0,0,1,3,8,2,0,0,0,0,0,23,3,1,1,5,0,0,1,18,0,0,2,5,6,0,0,1,1,1,4,1,2,10,1,4,4,1,1,,1,8,3,9,8139
2015,1665,1,0,1,3,8,4,0,0,0,0,0,23,3,2,0,6,0,0,5,13,1,0,2,3,5,0,0,1,1,1,4,10,4,10,1,5,4,1,1,,1,8,3,8,8018
2014,1666,0,1,1,7,2,1,1,0,0,0,0,23,2,5,2,6,0,0,1,3,1,0,3,2,6,0,0,0,0,0,5,7,2,5,1,2,2,1,0,2,,2,0,8,2058
2015,1666,0,1,1,7,2,1,1,0,0,0,0,23,1,5,0,6,0,0,1,1,0,0,3,3,6,0,0,0,0,0,5,4,2,5,1,2,2,1,0,2,,2,0,8,2058
2016,1666,0,1,1,7,2,1,0,0,0,0,0,22,1,5,0,6,0,0,1,2,0,0,3,3,5,0,0,1,0,0,5,5,2,5,1,2,2,1,0,2,,2,0,8,2058
2017,1666,0,1,1,7,2,1,0,0,0,0,0,23,2,5,1,6,0,0,1,1,0,0,3,0,5,0,0,1,0,0,5,1,5,6,1,3,2,1,0,2,,2,0,8,2128
2017,1667,0,1,1,4,8,1,0,0,0,0,0,23,2,5,3,3,0,0,1,1,0,0,1,3,8,0,0,1,0,0,10,5,2,6,1,3,1,4,2,2,1,8,1,8,8012
2014,1668,0,0,1,3,10,4,0,1,0,0,0,23,2,5,0,6,0,0,2,2,1,0,1,6,6,0,0,0,0,0,2,4,5,6,1,3,2,2,2,2,4,8,1,8,10011
2015,1668,0,0,1,3,10,4,0,1,0,0,0,23,3,5,2,6,0,0,3,2,1,0,2,2,4,0,0,1,0,0,2,4,5,6,1,4,3,2,2,2,4,8,1,8,10005
2016,1668,0,0,1,3,10,4,0,1,0,0,0,23,2,5,0,6,0,0,3,1,1,0,2,4,6,0,0,1,0,0,6,8,4,7,1,4,3,2,2,2,4,8,1,8,10005
2017,1668,0,0,1,3,10,4,0,1,0,0,0,23,2,5,0,6,0,0,3,0,1,0,2,1,6,0,0,1,0,0,6,1,5,7,1,4,3,2,2,2,4,8,1,8,10005
2014,1669,0,1,1,4,13,4,0,0,0,0,0,23,2,1,3,6,0,2,2,5,0,0,3,3,6,0,0,2,1,2,6,8,5,9,1,4,2,3,1,,5,1,1,6,13049
2015,1669,0,1,1,4,13,2,0,0,0,0,0,23,1,5,0,6,0,0,3,5,0,0,3,5,6,0,0,2,1,3,7,1,5,10,1,4,2,3,1,,5,1,1,6,13049
2016,1669,0,1,1,4,13,2,0,0,0,0,0,23,3,5,1,6,0,0,1,5,0,0,3,2,6,0,0,2,1,2,7,1,4,10,1,4,2,3,1,,5,1,1,6,13049
2017,1669,0,1,1,3,13,4,0,0,0,0,0,23,2,5,0,6,0,0,1,3,0,1,1,6,6,0,0,2,1,2,7,1,4,10,1,4,3,3,1,,5,1,1,6,13049
2014,1670,0,1,1,4,14,1,0,0,0,0,0,23,3,1,15,5,1,1,1,5,0,0,4,3,6,0,0,4,1,2,2,4,5,8,1,3,3,1,1,,1,7,2,9,14077
2015,1670,0,1,1,3,14,1,0,0,0,0,0,22,2,1,12,5,1,0,2,5,0,1,1,2,6,0,0,3,0,2,6,4,4,9,1,3,3,1,1,,1,7,2,9,14077
2016,1670,0,1,1,3,14,1,0,0,0,0,0,23,4,1,12,5,2,2,2,3,0,0,1,4,6,0,0,3,1,1,6,1,5,9,1,3,3,1,1,,1,7,2,9,14077
2017,1670,0,1,1,3,14,1,0,0,0,0,0,23,2,1,15,5,3,2,2,2,0,0,1,4,6,0,0,4,1,2,6,10,5,9,1,3,3,1,1,,1,7,2,9,14021
2014,1673,0,1,1,2,20,3,0,1,0,0,0,24,3,1,0,6,0,0,1,2,1,0,2,3,5,0,0,3,0,2,3,1,5,10,1,4,2,5,2,,4,5,1,8,20089
2015,1673,0,1,1,2,20,3,0,1,0,0,0,23,3,1,0,6,0,0,7,1,0,0,3,3,6,0,0,4,0,3,3,1,4,10,1,5,2,5,2,,4,5,0,8,20089
2016,1673,0,1,1,2,20,3,0,1,0,0,0,23,3,1,1,6,0,0,2,2,0,0,3,4,5,0,0,3,1,2,3,1,4,10,1,5,2,5,2,,4,5,1,8,20089
2017,1673,0,1,1,2,20,3,0,1,0,0,0,16,3,1,3,6,0,0,3,1,0,0,3,2,11,0,0,1,0,1,3,1,5,11,1,5,2,5,2,,4,5,1,14,20089
2014,1674,0,1,1,4,13,5,0,0,0,0,0,23,3,1,5,6,0,1,11,17,1,0,2,3,6,0,0,2,1,2,1,1,5,5,1,3,3,1,1,2,,6,0,8,13049
